time_s,force_dt001_N,u_dt001_m,v_dt001_mps,a_dt001_mps2,force_dt01_interp_N,u_dt01_interp_m,v_dt01_interp_mps,a_dt01_interp_mps2,du_dt01minusdt001_m,dv_dt01minusdt001_mps,da_dt01minusdt001_mps2
4.500000000000000111e-01,3.950000000000000000e+04,2.927944028590359279e-02,6.984729314315464566e-03,-5.500409589632779817e-01,3.950000000000000000e+04,2.932179938629802390e-02,2.571950542279029250e-02,-9.308012556701574791e-01,4.235910039443110953e-05,1.873477610847482794e-02,-3.807602967068794975e-01
4.600000000000000200e-01,3.960000000000000000e+04,2.932445645536459200e-02,2.018504577884377461e-03,-4.432039883229395016e-01,3.960000000000000000e+04,2.957899444052592558e-02,1.641149286608870744e-02,-8.220546437118116945e-01,2.545379851613335798e-04,1.439298828820433085e-02,-3.788506553888721928e-01
4.700000000000000289e-01,3.970000000000000000e+04,2.932507231808186357e-02,-1.895332034430063407e-03,-3.395633341399486582e-01,3.970000000000000000e+04,2.983618949475383073e-02,7.103480309387122382e-03,-7.133080317534659098e-01,5.111171766719671550e-04,8.998812343817184922e-03,-3.737446976135172516e-01
4.799999999999999822e-01,3.980000000000000000e+04,2.929157494907177334e-02,-4.804141767587983246e-03,-2.421986124916353234e-01,3.980000000000000000e+04,3.009338454898173240e-02,-2.204532247314414106e-03,-6.045614197951207913e-01,8.018095999099590643e-04,2.599609520273569140e-03,-3.623628073034854680e-01
4.899999999999999911e-01,3.990000000000000000e+04,2.923364286624412223e-02,-6.782274797942238788e-03,-1.534279935792157712e-01,3.990000000000000000e+04,3.035057960320963755e-02,-1.151254480401599223e-02,-4.958148078367750067e-01,1.116936736965515320e-03,-4.730270006073753440e-03,-3.423868142575592355e-01
5.000000000000000000e-01,4.000000000000000000e+04,2.916011290555077171e-02,-7.923717340727862851e-03,-7.486051497790913167e-02,4.000000000000000000e+04,3.060777465743753922e-02,-2.082055736071758423e-02,-3.870681958784292220e-01,1.447661751886767517e-03,-1.289684001998972138e-02,-3.122076809005200904e-01
5.100000000000000089e-01,3.990000000000000000e+04,2.907756291115810854e-02,-8.586281537804772365e-03,-5.765232443747270175e-02,3.990000000000000000e+04,3.037900273996658324e-02,-2.123188423799315938e-02,-3.178810942482548918e-01,1.301439828808474697e-03,-1.264560270018838702e-02,-2.602287698107821901e-01
5.200000000000000178e-01,3.980000000000000000e+04,2.898922275077115210e-02,-9.081750539586517373e-03,-4.144147591887636928e-02,3.980000000000000000e+04,3.015023082249563072e-02,-2.164321111526873453e-02,-2.486939926180805338e-01,1.161008071724478619e-03,-1.256146057568221716e-02,-2.072525166992041645e-01
5.300000000000000266e-01,3.970000000000000000e+04,2.889670365115281844e-02,-9.422069384080213744e-03,-2.662229297986296039e-02,3.970000000000000000e+04,2.992145890502467473e-02,-2.205453799254430622e-02,-1.795068909879061758e-01,1.024755253871856286e-03,-1.263246860846409247e-02,-1.528845980080432154e-01
5.400000000000000355e-01,3.960000000000000000e+04,2.880148062645831661e-02,-9.622535554820153131e-03,-1.347094116812486142e-02,3.960000000000000000e+04,2.969268698755372221e-02,-2.246586486981988137e-02,-1.103197893577318456e-01,8.912063610954056025e-04,-1.284332931499972824e-02,-9.684884818960698416e-02
5.500000000000000444e-01,3.950000000000000000e+04,2.870486458534774604e-02,-9.700672667293960133e-03,-2.156481326636372486e-03,3.950000000000000000e+04,2.946391507008276622e-02,-2.287719174709545653e-02,-4.113268772755745983e-02,7.590504847350201811e-04,-1.317651907980149639e-02,-3.897620640092108735e-02
5.600000000000000533e-01,3.940000000000000000e+04,2.860798510303986034e-02,-9.675223794283179315e-03,7.246255928792466605e-03,3.939999999999999272e+04,2.923514315261181024e-02,-2.328851862437103168e-02,2.805441390261687040e-02,6.271580495719498993e-04,-1.361329483008785236e-02,2.080815797382440380e-02
5.700000000000000622e-01,3.930000000000000000e+04,2.851178259016483307e-02,-9.565278780722271529e-03,1.474274678338916011e-02,3.929999999999999272e+04,2.900637123514085772e-02,-2.369984550164660683e-02,9.724151553279120064e-02,4.945886449760246439e-04,-1.413456672092433530e-02,8.249876874940204052e-02
5.799999999999999600e-01,3.920000000000000000e+04,2.841700848290823478e-02,-9.389542670597387369e-03,2.040447524158772730e-02,3.919999999999999272e+04,2.877759931766990520e-02,-2.411117237892217505e-02,1.664286171629647537e-01,3.605908347616704201e-04,-1.472162970832478768e-02,1.460241419213770264e-01
5.899999999999999689e-01,3.910000000000000000e+04,2.832423203875639173e-02,-9.165746159771222951e-03,2.435482692364510093e-02,3.909999999999999272e+04,2.854882740019894921e-02,-2.452249925619775020e-02,2.356157187931391395e-01,2.245953614425574840e-04,-1.535675309642652725e-02,2.112608918694940385e-01
5.999999999999999778e-01,3.900000000000000000e+04,2.823385233876524528e-02,-8.910193838458067145e-03,2.675563733898589369e-02,3.899999999999999272e+04,2.832005548272799669e-02,-2.493382613347332535e-02,3.048028204233135252e-01,8.620314396275141622e-05,-1.602363229501525821e-02,2.780471830843276315e-01
